amfi_code,date,nav,daily_return,rolling_sharpe
100016,2022-01-04,515.0971,-0.010305675278522441,
100016,2022-01-05,521.7239,0.012865147173222402,
100016,2022-01-06,515.788,-0.011377473794089044,
100016,2022-01-07,515.1639,-0.001209993253041941,
100016,2022-01-10,510.7136,-0.008638609964712218,
100016,2022-01-11,513.5542,0.005562021453902943,
100016,2022-01-12,512.3195,-0.00240422529890727,
100016,2022-01-13,510.2445,-0.00405020695093572,
100016,2022-01-14,514.3636,0.00807279647306336,
100016,2022-01-17,514.7627,0.0007759102704778531,
100016,2022-01-18,517.3803,0.005085061524465528,
100016,2022-01-19,513.1866,-0.008105642986406814,
100016,2022-01-20,507.1294,-0.011803114110929713,
100016,2022-01-21,507.871,0.0014623486628857485,
100016,2022-01-24,506.7062,-0.0022934957892849495,
100016,2022-01-25,509.7762,0.006058737785328061,
100016,2022-01-26,509.68,-0.00018871026148337133,
100016,2022-01-27,510.8661,0.002327146444828232,
100016,2022-01-28,503.8641,-0.013706135521617147,
100016,2022-01-31,512.5903,0.01731855871454213,
100016,2022-02-01,512.1124,-0.0009323235340191749,
100016,2022-02-02,515.5386,0.006690328138900803,
100016,2022-02-03,512.0153,-0.0068342118320527945,
100016,2022-02-04,513.6729,0.0032374032572854983,
100016,2022-02-07,508.0666,-0.010914144000978121,
100016,2022-02-08,510.3595,0.004512991013382983,
100016,2022-02-09,509.0223,-0.0026201138609157626,
100016,2022-02-10,509.4161,0.0007736399760875923,
100016,2022-02-11,512.826,0.006693742109839196,
100016,2022-02-14,507.5435,-0.010300764781816851,
100016,2022-02-15,504.7492,-0.005505537948964023,
100016,2022-02-16,507.0506,0.004559492120046915,
100016,2022-02-17,516.7872,0.019202422795673746,
100016,2022-02-18,516.4246,-0.0007016427651457269,
100016,2022-02-21,519.3918,0.005745659676165582,
100016,2022-02-22,519.1698,-0.0004274229974365884,
100016,2022-02-23,528.4118,0.017801497698826108,
100016,2022-02-24,520.6004,-0.014782788726519613,
100016,2022-02-25,521.3038,0.001351132269587163,
100016,2022-02-28,514.1489,-0.013725010253138326,
100016,2022-03-01,503.1674,-0.021358598647201354,
100016,2022-03-02,504.7495,0.003144281604889443,
100016,2022-03-03,505.6316,0.001747599551856771,
100016,2022-03-04,504.6233,-0.0019941396067809647,
100016,2022-03-07,504.411,-0.0004207098641698659,
100016,2022-03-08,518.6513,0.028231541342278454,
100016,2022-03-09,517.7387,-0.0017595636991558639,
100016,2022-03-10,520.3416,0.005027439517270027,
100016,2022-03-11,517.6372,-0.0051973549683514975,
100016,2022-03-14,519.2545,0.003124389050864096,
100016,2022-03-15,518.432,-0.0015840016793305933,
100016,2022-03-16,516.825,-0.0030997314980556467,
100016,2022-03-17,525.4534,0.016695012818652266,
100016,2022-03-18,531.2109,0.010957203816742034,
100016,2022-03-21,532.1264,0.0017234209614296336,
100016,2022-03-22,521.6911,-0.019610566211336278,
100016,2022-03-23,520.3011,-0.002664411947989831,
100016,2022-03-24,533.1283,0.024653417031022862,
100016,2022-03-25,532.3194,-0.0015172707957915588,
100016,2022-03-28,537.8012,0.010297952695317969,
100016,2022-03-29,544.965,0.013320535543617229,
100016,2022-03-30,546.3002,0.002450065600543061,
100016,2022-03-31,542.5392,-0.006884493177926609,
100016,2022-04-01,531.285,-0.020743570234187825,
100016,2022-04-04,534.7762,0.006571237659636742,
100016,2022-04-05,531.2213,-0.006647453645094892,
100016,2022-04-06,532.3217,0.002071453083676955,
100016,2022-04-07,526.7582,-0.010451386821164643,
100016,2022-04-08,525.7986,-0.0018217087080941718,
100016,2022-04-11,526.2264,0.0008136195113490619,
100016,2022-04-12,527.7466,0.0028888706457903535,
100016,2022-04-13,522.8529,-0.009272821463937375,
100016,2022-04-14,528.6739,0.011133150452067975,
100016,2022-04-15,526.1696,-0.004736946537364672,
100016,2022-04-18,518.7241,-0.014150380409662433,
100016,2022-04-19,518.493,-0.0004455162195085016,
100016,2022-04-20,518.9178,0.000819297463996671,
100016,2022-04-21,519.9214,0.0019340250035746465,
100016,2022-04-22,526.4763,0.012607482592561281,
100016,2022-04-25,525.6507,-0.001568161757708797,
100016,2022-04-26,525.3674,-0.0005389510562814337,
100016,2022-04-27,520.5493,-0.009170915439366767,
100016,2022-04-28,524.6005,0.007782548165947034,
100016,2022-04-29,525.7251,0.002143726511888655,
100016,2022-05-02,524.0515,-0.0031834127759925446,
100016,2022-05-03,515.5881,-0.016149939462056673,
100016,2022-05-04,522.4674,0.013342627574220556,
100016,2022-05-05,517.1078,-0.01025824769162631,
100016,2022-05-06,514.6837,-0.004687803974335658,
100016,2022-05-09,516.5793,0.0036830387284461086,-0.46310976842352414
100016,2022-05-10,511.4204,-0.009986656453326748,-0.457363819146849
100016,2022-05-11,504.9889,-0.012575759590348734,-0.9314113398953636
100016,2022-05-12,495.8735,-0.018050693787526884,-1.0431971116031478
100016,2022-05-13,499.2941,0.006898130269111125,-0.8912294800497376
100016,2022-05-16,497.1556,-0.004283046805479973,-0.814025149887826
100016,2022-05-17,510.4206,0.02668178735188742,-0.40865599761550936
100016,2022-05-18,506.2251,-0.008219691760089631,-0.5096666929619169
100016,2022-05-19,502.3871,-0.007581607470668716,-0.5705687062456375
100016,2022-05-20,500.1462,-0.004460504658658548,-0.7930075661114339
100016,2022-05-23,501.4785,0.0026638210987106614,-0.7594254457607121
100016,2022-05-24,499.6609,-0.0036244824055268188,-0.9137344926264197
100016,2022-05-25,502.6257,0.005933624183921404,-0.6670865054230303
100016,2022-05-26,498.5637,-0.008081560493225948,-0.603867743654756
100016,2022-05-27,492.78,-0.011600724240453109,-0.8294755047734077
100016,2022-05-30,485.277,-0.01522586143918181,-1.0444634223521405
100016,2022-05-31,476.0989,-0.018913115602016917,-1.455640150449164
100016,2022-06-01,474.1732,-0.004044747845458163,-1.5207876685060946
100016,2022-06-02,473.1602,-0.002136350177530111,-1.5978080454952726
100016,2022-06-03,470.7754,-0.005040153419497262,-1.4610799291148346
100016,2022-06-06,476.2119,0.011547969583797224,-1.5755328978883325
100016,2022-06-07,481.6458,0.011410676633658134,-1.3497565781068241
100016,2022-06-08,480.4735,-0.002433946273381782,-1.511598809515384
100016,2022-06-09,473.1759,-0.015188350658256855,-1.6412074213799626
100016,2022-06-10,471.0598,-0.004472121255541528,-1.7739327175839925
100016,2022-06-13,468.8163,-0.004762664952517648,-1.6759610874544484
100016,2022-06-14,466.3477,-0.005265601899933969,-1.845659544396908
